marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,19100570,R18TQIW1NKPUNU,B00AN9UJ68,495720940,Cuisinart Smart Stick 2-Speed Hand Blender,Kitchen,5,0,0,N,Y,Five Stars,my friend loves it,31/08/15
US,10299811,R34KUNL21WU248,B00L2P0KNO,41330497,"Searzall Torch Attachment, Small, Stainless",Kitchen,4,0,0,N,Y,Four Stars,works as expected... hold it close for quicker results,31/08/15
US,32687006,R2YA1ZA53X12IN,B00NQOJQXY,191893454,Wilton 1512-1664 Sofia The First Cupcake Stand,Kitchen,5,0,0,N,Y,great,great,31/08/15
US,43260893,R2ZD1IGC9UU55X,B00080QE1Q,277442428,Magnalite Classic 13-Piece Cookware Set,Kitchen,5,1,1,N,Y,Great Pots!,Fantastic product! Love these pots!,31/08/15
US,8067227,R9J2YMVZTUVZ7,B009VU17ZM,414077276,"Sun's Tea(TM) 20oz Ultra Clear Strong Double Wall Insulated Thermo Wave Glass Tumbler Highball Glass for Beer/Cocktail/Lemonade/Iced Tea, Set of 2",Kitchen,5,0,0,N,Y,Five Stars,"Work great, well worth the money and so much nicer than plastic.",31/08/15
US,18139929,R2UUXJ0WQR0CNI,B00MY71KO2,138697457,Adventure Time Beemo BMO Ceramic Figural Coffee Mug,Kitchen,4,0,0,N,Y,So big,holds a loooot of liquid. Bigger than it looks.,31/08/15
US,12282702,R3S9QICITG73JZ,B00A6N18CK,48180946,DecoBros 3 Tier Drawer Storage Holder 54 Keurig K-cup Coffee Pod,Kitchen,5,0,0,N,Y,It looks nice & neat on the counter,The DecoBros K cup storage unit is very well made and the cups fit perfectly.  It looks nice & neat on the counter.  I recommend this product for their K cup storage.,31/08/15
US,38649737,R3LISNJHS64PDA,B00AB8NOLS,67759108,"Brita Water Filter Bottle Replacement Filters, (4 Count)…",Kitchen,4,0,0,N,Y,Four Stars,Met my expectations,31/08/15
US,33460969,R28RB82UG4RDD5,B00FB4UPA0,10711472,Nifty Home 24 K-Cup Drawer,Kitchen,5,20,20,N,Y,Saves counter space,Fits under my full-sized Keurig perfectly.  Drawer operates well.  No issues at all.  See pictures for relative size.,31/08/15
US,40274860,R3H0PRVII5991X,B00YMHBQ0A,618617346,Eoonfirst Snoopy Stainless Steel Cookie Cutter,Kitchen,5,0,0,N,Y,Five Stars,Love it!,31/08/15
